workerid|(2.0, 1.0, 1)|(2.0, 0.0, 1)|(1.0, 0.0, 1)|(2.0, 0.0, 0)|(1.0, 0.0, 0)|(1.0, 1.0, 1)|(3.0, 0.0, 0)|(1.0, 1.0, 0)|(2.0, 1.0, 0)|(3.0, 0.0, 1)|(4.0, 0.0, 1)|(3.0, 1.0, 0)|(4.0, 0.0, 0)|(3.0, 1.0, 1)|(5.0, 0.0, 0)|
44569924|------------------------000-----------|----------------------------------------------------------11001000-----------------------------------------------|----------------------------------------------------------------------0101000----------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------0000111010------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------0000001-----------------------------------------------------------|--------------100----------------------|------------------------0-----------------|-------------------000-----------------|-----------------------------------001--------------------------------|-------------000----------------|-----|---1------|--|-|1|
53611766|------------------------110-----------|----------------------------------------------------------11010011-----------------------------------------------|----------------------------------------------------------------------1111011----------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------0001101010------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------0100100-----------------------------------------------------------|--------------110----------------------|------------------------1-----------------|-------------------000-----------------|-----------------------------------011--------------------------------|-------------100----------------|-----|---1------|--|-|1|
36217114|------------------------010-----------|----------------------------------------------------------11000001-----------------------------------------------|----------------------------------------------------------------------0101010----------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------0000101010------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------0100000-----------------------------------------------------------|--------------100----------------------|------------------------0-----------------|-------------------001-----------------|-----------------------------------001--------------------------------|-------------000----------------|-----|---1------|--|-|1|
21507147|------------------------110-----------|----------------------------------------------------------11010001-----------------------------------------------|----------------------------------------------------------------------1001001----------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------0001111010------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------0100001-----------------------------------------------------------|--------------100----------------------|------------------------1-----------------|-------------------000-----------------|-----------------------------------011--------------------------------|-------------000----------------|-----|---1------|--|-|0|
68841969|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------0100111111001000100-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------11100------------------------------------------------------|-----------------000000----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0000----------------------------|----------------00--------------|-----|----------|--|-|-|
37662987|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1110111011111010001-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------01100------------------------------------------------------|-----------------000000----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------1010----------------------------|----------------00--------------|-----|----------|--|-|-|
95635907|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01010100--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1110111111111011100-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------11100------------------------------------------------------|-----------------000100----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0010----------------------------|----------------00--------------|-----|----------|--|-|-|
95839367|--------------------------------------|------------------------------------------------------------------110--------------------------------------------|-----------------------------------------------------------------------------11010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------0100111110101001100-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------00100------------------------------------------------------|-----------------000010----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0010----------------------------|----------------00--------------|-----|----------|--|-|-|
90783713|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------00010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1110111111111110010-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------11100------------------------------------------------------|-----------------000000----------------|-------------------------10---------------|----------------------0----------------|--------------------------------------0010----------------------------|----------------10--------------|-----|----------|--|-|-|
80268144|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------00010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1101010111011001000-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------10110------------------------------------------------------|-----------------000000----------------|-------------------------01---------------|----------------------1----------------|--------------------------------------0000----------------------------|----------------00--------------|-----|----------|--|-|-|
26078256|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1000000011000010010-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------00100------------------------------------------------------|-----------------000000----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0000----------------------------|----------------00--------------|-----|----------|--|-|-|
61326307|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------11111111--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1111111011111010011-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------01110------------------------------------------------------|-----------------000100----------------|-------------------------10---------------|----------------------1----------------|--------------------------------------0011----------------------------|----------------11--------------|-----|----------|--|-|-|
29722822|--------------------------------------|------------------------------------------------------------------110--------------------------------------------|-----------------------------------------------------------------------------01010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1110111110111111101-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------11100------------------------------------------------------|-----------------000000----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------1010----------------------------|----------------00--------------|-----|----------|--|-|-|
54244423|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1110111111111010111-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------10100------------------------------------------------------|-----------------000100----------------|-------------------------00---------------|----------------------0----------------|--------------------------------------1110----------------------------|----------------10--------------|-----|----------|--|-|-|
86145115|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01000000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1110110011111111110-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------01100------------------------------------------------------|-----------------000100----------------|-------------------------11---------------|----------------------0----------------|--------------------------------------1010----------------------------|----------------11--------------|-----|----------|--|-|-|
24048375|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01011100--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1111110111111111101-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------10100------------------------------------------------------|-----------------000010----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0010----------------------------|----------------00--------------|-----|----------|--|-|-|
55255691|--------------------------------------|------------------------------------------------------------------100--------------------------------------------|-----------------------------------------------------------------------------00011000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------0110000000000000000-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------00000------------------------------------------------------|-----------------001010----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0001----------------------------|----------------10--------------|-----|----------|--|-|-|
31647509|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------11010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1100010111000000101-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------00100------------------------------------------------------|-----------------010010----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0000----------------------------|----------------00--------------|-----|----------|--|-|-|
64957486|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------11010101--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------0000101100100011000-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------00100------------------------------------------------------|-----------------111101----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------1010----------------------------|----------------10--------------|-----|----------|--|-|-|
80122898|--------------------------------------|------------------------------------------------------------------110--------------------------------------------|-----------------------------------------------------------------------------11110101--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1100110111000001010-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------00100------------------------------------------------------|-----------------101000----------------|-------------------------00---------------|----------------------0----------------|--------------------------------------1000----------------------------|----------------10--------------|-----|----------|--|-|-|
30454841|--------------------------------------|------------------------------------------------------------------100--------------------------------------------|-----------------------------------------------------------------------------00000000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------1001110101000000011-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------00100------------------------------------------------------|-----------------000100----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0010----------------------------|----------------10--------------|-----|----------|--|-|-|
27702054|--------------------------------------|------------------------------------------------------------------110--------------------------------------------|-----------------------------------------------------------------------------00111011--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------0100110101100010100-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------11000------------------------------------------------------|-----------------000100----------------|-------------------------11---------------|----------------------1----------------|--------------------------------------0000----------------------------|----------------00--------------|-----|----------|--|-|-|
91989693|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01010000--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------0110010100101000000-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------00000------------------------------------------------------|-----------------000000----------------|-------------------------01---------------|----------------------0----------------|--------------------------------------0000----------------------------|----------------10--------------|-----|----------|--|-|-|
10686368|--------------------------------------|------------------------------------------------------------------111--------------------------------------------|-----------------------------------------------------------------------------01110111--------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------0110111001011001110-----------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------01101------------------------------------------------------|-----------------000110----------------|-------------------------11---------------|----------------------1----------------|--------------------------------------1000----------------------------|----------------10--------------|-----|----------|--|-|-|
97066002|---------------------------0101-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------1111000010----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1100010110110----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------01011110----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
47054535|---------------------------0000-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------0100000100----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1000010100010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------11010101----------------------------------------------|---------------------------------------|---------------------------0--------------|-----------------------00--------------|------------------------------------------010-------------------------|------------------00------------|-----|----0-----|--|-|-|
17452023|---------------------------0001-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------0101001010----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1100010010010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------00001000----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------110-------------------------|------------------00------------|-----|----0-----|--|-|-|
63395468|---------------------------0000-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------0101000010----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1100110000010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10110110----------------------------------------------|---------------------------------------|---------------------------0--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
23599923|---------------------------0101-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------0101001010----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1101111110011----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10011111----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
74953183|---------------------------0000-------|---------------------------------------------------------------------111100--------------------------------------|-------------------------------------------------------------------------------------1101000000----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1110100110011----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------11011100----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------111-------------------------|------------------00------------|-----|----0-----|--|-|-|
84886983|---------------------------0001-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------0101001010----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1110111011110----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10011100----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------10------------|-----|----0-----|--|-|-|
76311101|---------------------------0001-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------1000000010----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1101000011010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------01010000----------------------------------------------|---------------------------------------|---------------------------0--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
26977989|---------------------------0001-------|---------------------------------------------------------------------110000--------------------------------------|-------------------------------------------------------------------------------------1101001001----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1110111001010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10111100----------------------------------------------|---------------------------------------|---------------------------0--------------|-----------------------01--------------|------------------------------------------010-------------------------|------------------10------------|-----|----0-----|--|-|-|
73776845|---------------------------0111-------|---------------------------------------------------------------------111100--------------------------------------|-------------------------------------------------------------------------------------1111001111----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1101111111010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------01111001----------------------------------------------|---------------------------------------|---------------------------0--------------|-----------------------10--------------|------------------------------------------111-------------------------|------------------00------------|-----|----0-----|--|-|-|
31594628|---------------------------1001-------|---------------------------------------------------------------------011101--------------------------------------|-------------------------------------------------------------------------------------1111101111----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------0100111000000----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10011000----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------111-------------------------|------------------11------------|-----|----0-----|--|-|-|
87869809|---------------------------0001-------|---------------------------------------------------------------------110000--------------------------------------|-------------------------------------------------------------------------------------0001011000----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------0011000010010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10011010----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------110-------------------------|------------------00------------|-----|----0-----|--|-|-|
79183748|---------------------------0001-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------0000000010----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------0000110010010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------00011000----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
97035768|---------------------------0101-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------0101000110----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1100110011011----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10011110----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------01--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
31384307|---------------------------0101-------|---------------------------------------------------------------------111100--------------------------------------|-------------------------------------------------------------------------------------1101000110----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1110110110010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10011000----------------------------------------------|---------------------------------------|---------------------------0--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
96461097|---------------------------0001-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------1111111001----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1111110110110----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10101011----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------10------------|-----|----0-----|--|-|-|
53125441|---------------------------0001-------|---------------------------------------------------------------------111000--------------------------------------|-------------------------------------------------------------------------------------1100001100----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1000110110010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10011100----------------------------------------------|---------------------------------------|---------------------------0--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
77642254|---------------------------0001-------|---------------------------------------------------------------------111100--------------------------------------|-------------------------------------------------------------------------------------1000000100----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1110111110010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10011110----------------------------------------------|---------------------------------------|---------------------------0--------------|-----------------------00--------------|------------------------------------------111-------------------------|------------------00------------|-----|----0-----|--|-|-|
25500311|---------------------------0101-------|---------------------------------------------------------------------111010--------------------------------------|-------------------------------------------------------------------------------------1000001010----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1100010010010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------10111010----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------00--------------|------------------------------------------011-------------------------|------------------00------------|-----|----0-----|--|-|-|
45952401|---------------------------0101-------|---------------------------------------------------------------------110000--------------------------------------|-------------------------------------------------------------------------------------1111100111----------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------1101100100010----------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------01011100----------------------------------------------|---------------------------------------|---------------------------1--------------|-----------------------01--------------|------------------------------------------110-------------------------|------------------00------------|-----|----1-----|--|-|-|
