workerid|(2.0, 1.0, 1)|(2.0, 0.0, 1)|(1.0, 0.0, 1)|(2.0, 0.0, 0)|(1.0, 0.0, 0)|(1.0, 1.0, 1)|(3.0, 0.0, 0)|(1.0, 1.0, 0)|(2.0, 1.0, 0)|(3.0, 0.0, 1)|(4.0, 0.0, 1)|(3.0, 1.0, 0)|(4.0, 0.0, 0)|(3.0, 1.0, 1)|(5.0, 0.0, 0)|
86467080|----------------0010------------------|------------------------------000010-----------------------------------------------------------------------------|-----------------------------------0000010---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1101110011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0110101110110-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------010-----------------------------------------------------|-----000------------------------|-----|----------|--|-|-|
55215692|----------------0010------------------|------------------------------000010-----------------------------------------------------------------------------|-----------------------------------0000100---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1100000011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0110001010110-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------100-----------------------------------------------------|-----000------------------------|-----|----------|--|-|-|
97071953|----------------0111------------------|------------------------------000111-----------------------------------------------------------------------------|-----------------------------------1000101---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1111111011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0110101110110-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------011-----------------------------------------------------|-----011------------------------|-----|----------|--|-|-|
72282999|----------------0010------------------|------------------------------000010-----------------------------------------------------------------------------|-----------------------------------0000110---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1110111011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0011111110100-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------111-----------------------------------------------------|-----000------------------------|-----|----------|--|-|-|
24355926|----------------0111------------------|------------------------------010110-----------------------------------------------------------------------------|-----------------------------------0000100---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1101110011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0111111111111-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------11-----------------------------|---------1-----------------------------|--------------011-----------------------------------------------------|-----111------------------------|-----|----------|--|-|-|
29211135|----------------0110------------------|------------------------------010010-----------------------------------------------------------------------------|-----------------------------------0000100---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1100110011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0101101011010-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------0-----------------------------|--------------111-----------------------------------------------------|-----010------------------------|-----|----------|--|-|-|
73599858|----------------0110------------------|------------------------------000110-----------------------------------------------------------------------------|-----------------------------------1000110---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1110110011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0111101111110-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------110-----------------------------------------------------|-----010------------------------|-----|----------|--|-|-|
60187442|----------------0011------------------|------------------------------010010-----------------------------------------------------------------------------|-----------------------------------0000100---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1110110011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0111111010110-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------010-----------------------------------------------------|-----011------------------------|-----|----------|--|-|-|
21411918|----------------0011------------------|------------------------------000111-----------------------------------------------------------------------------|-----------------------------------0000010---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1111111011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0111111011111-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------111-----------------------------------------------------|-----110------------------------|-----|----------|--|-|-|
64453824|----------------0110------------------|------------------------------010110-----------------------------------------------------------------------------|-----------------------------------0000100---------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------1100111011----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------0110101110010-----------------------------------------------------------------------------------------------------|--------0------------------------------|-----------01-----------------------------|---------1-----------------------------|--------------010-----------------------------------------------------|-----010------------------------|-----|----------|--|-|-|
